"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"evolutivo_densidad"
"10/26/2025 18:00:30:650 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"4","square-x","60","30","0","458","48.77777777777778","60.4221635883905"
"2","square-x","60","30","0","443","49.35370152761457","59.46308724832215"
"6","square-x","60","30","0","464","50.1039501039501","58.58585858585859"
"5","square-x","60","30","0","472","51.335877862595424","56.867469879518076"
"8","square-x","60","30","0","492","48.74274661508704","59.854014598540154"
"3","square-x","60","30","0","433","52.85565939771547","55.30012771392082"
"7","square-x","60","30","0","473","51.01058710298364","58.9041095890411"
"4","square-x","60","30","1","342","58.565310492505354","45.11873350923483"
"2","square-x","60","30","1","325","59.86622073578596","43.624161073825505"
"6","square-x","60","30","1","349","61.60081053698075","44.06565656565656"
"4","square-x","60","30","2","222","71.91854233654877","29.287598944591032"
"3","square-x","60","30","1","327","61.691022964509386","41.7624521072797"
"8","square-x","60","30","1","392","57.710064635272396","47.688564476885645"
"5","square-x","60","30","1","407","56.62100456621004","49.03614457831325"
"2","square-x","60","30","2","241","68.3585313174946","32.348993288590606"
"8","square-x","60","30","2","281","69.54545454545455","34.18491484184915"
"3","square-x","60","30","2","279","67.14285714285714","35.63218390804598"
"4","square-x","60","30","3","186","77.10843373493977","24.538258575197887"
"6","square-x","60","30","2","260","69.4015444015444","32.82828282828283"
"1","square-x","60","30","0","473","49.4824016563147","59.57178841309824"
"5","square-x","60","30","2","289","69.22382671480143","34.81927710843373"
"2","square-x","60","30","3","184","76.62753468516541","24.697986577181208"
"8","square-x","60","30","3","249","72.75862068965517","30.29197080291971"
"3","square-x","60","30","3","229","73.66296670030272","29.246487867177525"
"4","square-x","60","30","4","145","81.30563798219585","19.129287598944593"
"7","square-x","60","30","1","333","62.56062075654704","41.46948941469489"
"8","square-x","60","30","4","179","80.79930495221546","21.776155717761558"
"3","square-x","60","30","4","184","77.06333973128598","23.49936143039591"
"5","square-x","60","30","3","229","74.72434266327396","27.590361445783135"
"8","square-x","60","30","5","141","82.29942100909842","17.153284671532848"
"6","square-x","60","30","3","196","75.88516746411483","24.747474747474747"
"7","square-x","60","30","2","315","65.5045871559633","39.22789539227895"
"3","square-x","60","30","5","140","81.37164040778498","17.879948914431672"
"5","square-x","60","30","4","168","81.1881188118812","20.240963855421686"
"8","square-x","60","30","6","113","85.57457212713936","13.746958637469586"
"2","square-x","60","30","4","151","81.47368421052632","20.268456375838927"
"4","square-x","60","30","5","118","84.30066603235015","15.567282321899736"
"3","square-x","60","30","6","134","84.49396471680595","17.11366538952746"
"5","square-x","60","30","5","123","84.66505246166263","14.819277108433734"
"4","square-x","60","30","6","89","87.46465598491989","11.741424802110819"
"1","square-x","60","30","1","358","60.16177957532861","45.08816120906801"
"6","square-x","60","30","4","156","80.51948051948052","19.696969696969695"
"7","square-x","60","30","3","207","75.29095792300807","25.77833125778331"
"8","square-x","60","30","7","89","88.47703464947622","10.827250608272507"
"3","square-x","60","30","7","103","86.87615526802219","13.154533844189018"
"5","square-x","60","30","6","94","87.96147672552166","11.325301204819278"
"4","square-x","60","30","7","67","92.13806327900288","8.839050131926122"
"5","square-x","60","30","7","75","90.50683829444891","9.036144578313253"
"3","square-x","60","30","8","71","90.30470914127424","9.067688378033207"
"8","square-x","60","30","8","69","90.62748212867355","8.394160583941606"
"1","square-x","60","30","2","268","69.10798122065728","33.75314861460957"
"3","square-x","60","30","9","69","90","8.812260536398467"
"5","square-x","60","30","8","53","92.53968253968254","6.385542168674699"
"2","square-x","60","30","5","120","85.26970954356847","16.10738255033557"
"6","square-x","60","30","5","130","83.31814038286235","16.414141414141415"
"8","square-x","60","30","9","54","91.2156862745098","6.569343065693431"
"3","square-x","60","30","10","51","92.2671353251318","6.513409961685824"
"5","square-x","60","30","9","45","93.49529780564264","5.421686746987952"
"3","square-x","60","30","11","28","95.21739130434783","3.5759897828863343"
"4","square-x","60","30","8","56","92.5891181988743","7.387862796833773"
"8","square-x","60","30","10","44","93.76971608832808","5.35279805352798"
"1","square-x","60","30","3","185","77.2140221402214","23.299748110831235"
"5","square-x","60","30","10","38","94.25911559348333","4.578313253012048"
"3","square-x","60","30","12","22","96.0801393728223","2.80970625798212"
"2","square-x","60","30","6","105","84.99025341130604","14.093959731543624"
"3","square-x","60","30","13","15","96.86137750653879","1.9157088122605364"
"7","square-x","60","30","4","140","81.57661647475642","17.4346201743462"
"8","square-x","60","30","11","28","96.24413145539906","3.40632603406326"
"5","square-x","60","30","11","32","95.37393986121819","3.8554216867469884"
"1","square-x","60","30","4","136","83.09726156751653","17.12846347607053"
"3","square-x","60","30","14","10","97.5588491717524","1.277139208173691"
"4","square-x","60","30","9","34","93.8305709023941","4.485488126649076"
"5","square-x","60","30","12","24","95.2959028831563","2.891566265060241"
"6","square-x","60","30","6","91","87.55595344673232","11.48989898989899"
"8","square-x","60","30","12","21","96.81429681429682","2.5547445255474455"
"3","square-x","60","30","15","7","97.06136560069145","0.8939974457215836"
"2","square-x","60","30","7","73","90.9181636726547","9.798657718120806"
"5","square-x","60","30","13","17","97.02062643239114","2.0481927710843375"
"8","square-x","60","30","13","16","96.82907965970611","1.9464720194647203"
"4","square-x","60","30","10","20","94.91833030852995","2.638522427440633"
"1","square-x","60","30","5","108","84.33843384338434","13.602015113350127"
"7","square-x","60","30","5","112","86.52988403211418","13.947696139476962"
"6","square-x","60","30","7","64","89.6103896103896","8.080808080808081"
"3","square-x","60","30","16","9","97.65625","1.1494252873563218"
"5","square-x","60","30","14","13","97.26235741444867","1.566265060240964"
"8","square-x","60","30","14","14","97.97979797979798","1.70316301703163"
"3","square-x","60","30","17","5","97.84853700516352","0.6385696040868455"
"5","square-x","60","30","15","9","97.86747905559787","1.0843373493975903"
"8","square-x","60","30","15","6","98.67083659108678","0.7299270072992701"
"4","square-x","60","30","11","12","97.40018570102136","1.58311345646438"
"1","square-x","60","30","6","89","86.73740053050398","11.209068010075567"
"2","square-x","60","30","8","54","92.15686274509804","7.248322147651007"
"6","square-x","60","30","8","47","92.3076923076923","5.934343434343434"
"3","square-x","60","30","18","1","98.27586206896551","0.1277139208173691"
"7","square-x","60","30","6","103","88.13559322033898","12.826899128268993"
"3","square-x","60","30","19","1","98.19277108433735","0.1277139208173691"
"8","square-x","60","30","16","3","98.67498051441933","0.36496350364963503"
"5","square-x","60","30","16","9","97.94050343249427","1.0843373493975903"
"4","square-x","60","30","12","5","97.79816513761467","0.6596306068601583"
"3","square-x","60","30","20","1","98.02235597592434","0.1277139208173691"
"1","square-x","60","30","7","69","88.76106194690266","8.690176322418136"
"2","square-x","60","30","9","53","92.0952380952381","7.114093959731544"
"6","square-x","60","30","9","36","94.20035149384886","4.545454545454546"
"4","square-x","60","30","13","3","98.15837937384899","0.395778364116095"
"3","square-x","60","30","21","2","98.2773471145564","0.2554278416347382"
"7","square-x","60","30","7","83","89.2416225749559","10.336239103362391"
"8","square-x","60","30","17","1","98.82995319812792","0.12165450121654502"
"2","square-x","60","30","10","43","93.17118802619271","5.771812080536913"
