"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"post_viba"
"10/26/2025 18:43:57:146 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"3","square-x","30","65","10","0","71.43818712138209","0"
"6","square-x","30","65","12","0","73.04582210242587","0"
"2","square-x","30","65","11","0","71.66333555407506","0"
"7","square-x","30","65","10","0","72.82207256137302","0"
"10","square-x","30","65","10","0","72.69123134328358","0"
"4","square-x","30","65","11","0","72.33402729585936","0"
"5","square-x","30","65","11","0","71.8615649183147","0"
"9","square-x","30","65","12","0","71.86363636363636","0"
"11","square-x","30","75","12","0","72.03807581166072","0"
"1","square-x","30","65","17","0","73.36796927942173","0"
"8","square-x","30","65","14","0","73.06678383128296","0"
"12","square-x","30","75","11","0","72.13606803401701","0"
"13","square-x","30","75","11","0","73.7872340425532","0"
"14","square-x","30","75","14","0","73.12695537625555","0"
"15","square-x","30","75","15","0","71.74597620713786","0"
"19","square-x","30","75","12","0","71.32088401576152","0"
"16","square-x","30","75","12","0","70.57005494505495","0"
"18","square-x","30","75","19","0","71.60909856781802","0"
"17","square-x","30","75","12","0","72.12050599201065","0"
"22","square-x","30","85","15","0","74.13933315261588","0"
"24","square-x","30","85","12","0","71.90017166248515","0"
"23","square-x","30","85","14","0","72.91414752116083","0"
"20","square-x","30","75","16","0","72.69398430688754","0"
"21","square-x","30","85","11","0","73.6","0"
"26","square-x","30","85","14","0","73.28767123287672","0"
"28","square-x","30","85","14","0","74.04339250493098","0"
"30","square-x","30","85","14","0","73.49918875067604","0"
"29","square-x","30","85","18","0","73.56533158240315","0"
"27","square-x","30","85","12","0","72.45237778073798","0"
"25","square-x","30","85","16","0","73.9560005269398","0"
"34","square-x","30","95","18","0","75.1621271076524","0"
"33","square-x","30","95","13","0","74.11964361476453","0"
"35","square-x","30","95","24","0","75.86390217969165","0"
"36","square-x","30","95","24","0","74.11487859664135","0"
"31","square-x","30","95","14","0","73.51282324146004","0"
"32","square-x","30","95","13","0","76.21638924455826","0"
"37","square-x","30","95","14","0","75.27958249014804","0"
"42","square-x","50","65","16","0","89.04344104429703","0"
"41","square-x","50","65","17","0","87.82366787930665","0"
"40","square-x","30","95","13","0","74.55742659758204","0"
"39","square-x","30","95","18","0","76.65464573610522","0"
"47","square-x","50","65","12","0","87.68211920529801","0"
"46","square-x","50","65","16","0","87.79238137669859","0"
"43","square-x","50","65","16","0","87.07753479125249","0"
"45","square-x","50","65","12","0","86.85275942893671","0"
"49","square-x","50","65","22","0","88.04446460980037","0"
"44","square-x","50","65","19","0","89.0768901263654","0"
"38","square-x","30","95","18","0","76.5432098765432","0"
"48","square-x","50","65","22","0","87.84943869689631","0"
"50","square-x","50","65","17","0","89.22897196261682","0"
"51","square-x","50","75","21","0","86.9069267647545","0"
"52","square-x","50","75","15","0","87.62275651879445","0"
"53","square-x","50","75","16","0","86.85824426143333","0"
"58","square-x","50","75","18","0","88.04329998359849","0"
"54","square-x","50","75","22","0","87.10330857528696","0"
"55","square-x","50","75","18","0","88.06456872656122","0"
