"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"post_densidad"
"10/26/2025 18:43:43:216 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"5","square-x","60","30","20","0","97.88135593220339","0"
"6","square-x","60","30","20","0","98.56169568508706","0"
"2","square-x","60","30","43","0","99.39446366782006","0"
"10","square-x","60","30","18","0","99.37106918238993","0"
"9","square-x","60","30","17","0","98.05481874447392","0"
"1","square-x","60","30","24","0","98.30795262267344","0"
"7","square-x","60","30","16","0","98.86086248982913","0"
"8","square-x","60","30","20","0","98.65831842576029","0"
"3","square-x","60","30","19","0","98.62132352941177","0"
"4","square-x","60","30","23","0","98.27586206896551","0"
"11","square-x","60","40","22","0","98.17518248175182","0"
"12","square-x","60","40","37","0","98.34224598930481","0"
"13","square-x","60","40","20","0","97.41816505301982","0"
"19","square-x","60","40","22","0","97.43455497382199","0"
"14","square-x","60","40","22","0","98.59878561419897","0"
"20","square-x","60","40","19","0","97.19859929964983","0"
"21","square-x","60","50","20","0","97.01067615658363","0"
"22","square-x","60","50","21","0","97.5415512465374","0"
"15","square-x","60","40","25","0","97.49262536873157","0"
"24","square-x","60","50","23","0","96.63951120162932","0"
"16","square-x","60","40","27","0","97.47942386831275","0"
"18","square-x","60","40","24","0","97.98921039725356","0"
"23","square-x","60","50","23","0","96.78075228736022","0"
"25","square-x","60","50","29","0","97.1830985915493","0"
"26","square-x","60","50","19","0","96.68945663907881","0"
"28","square-x","60","50","24","0","97.2750089637863","0"
"17","square-x","60","40","31","0","97.43321110529072","0"
"32","square-x","60","60","28","0","96.1972522080471","0"
"33","square-x","60","60","28","0","96.37715930902111","0"
"34","square-x","60","60","27","0","96.14500893540975","0"
"31","square-x","60","60","21","0","96.5813953488372","0"
"30","square-x","60","50","20","0","96.2251655629139","0"
"27","square-x","60","50","24","0","96.76074406670942","0"
"36","square-x","60","60","21","0","96.06898300786203","0"
"29","square-x","60","50","24","0","97.571277719113","0"
"37","square-x","60","60","24","0","97.02380952380952","0"
"38","square-x","60","60","22","0","96.8501984126984","0"
"39","square-x","60","60","25","0","96.14147909967846","0"
"45","square-x","60","70","25","0","95.94569462525571","0"
"42","square-x","60","70","30","0","97.03213610586012","0"
"44","square-x","60","70","29","0","96.3639719453673","0"
"35","square-x","60","60","31","0","96.51133815100921","0"
"40","square-x","60","60","21","0","96.69504256384577","0"
"49","square-x","60","70","21","0","96.50848765432099","0"
"47","square-x","60","70","25","0","96.3825283817587","0"
"48","square-x","60","70","26","0","96.14730878186968","0"
"41","square-x","60","70","26","0","95.65301765961576","0"
"43","square-x","60","70","27","0","96.70269280087929","0"
"46","square-x","60","70","34","0","96.88823421101085","0"
"52","square-x","60","80","39","0","96.80755395683454","0"
"54","square-x","60","80","39","0","96.39235004346565","0"
"53","square-x","60","80","63","0","96.61595336271861","0"
"51","square-x","60","80","28","0","96.39320029563933","0"
"50","square-x","60","70","33","0","95.7208448117539","0"
"59","square-x","60","80","40","0","96.01126927639383","0"
"57","square-x","60","80","38","0","96.16004690019054","0"
"56","square-x","60","80","40","0","97.04107169144707","0"
"55","square-x","60","80","55","0","96.8263127524524","0"
"60","square-x","60","80","36","0","96.82794913024412","0"
"58","square-x","60","80","75","0","96.86646543050166","0"
"66","square-x","60","90","81","0","97.7703588887564","0"
"61","square-x","60","90","117","0","97.99883653286795","0"
"68","square-x","60","90","95","0","97.67469592177439","0"
"65","square-x","60","90","96","0","97.7334116265414","0"
"62","square-x","60","90","122","0","98.16232771822358","0"
"63","square-x","60","90","216","0","98.08508198601078","0"
"67","square-x","60","90","255","0","98.31116252168883","0"
"69","square-x","60","90","163","0","97.94377323420075","0"
"64","square-x","60","90","216","0","98.07537167223694","0"
"70","square-x","60","90","166","0","97.50439367311073","0"
