"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"post_similitud"
"10/26/2025 18:36:36:676 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"8","square-x","30","90","13","0","74.88229755178908","0"
"4","square-x","30","90","18","0","74.41614833939678","0"
"5","square-x","30","90","15","0","73.1651376146789","0"
"10","square-x","30","90","14","0","73.41682419659735","0"
"11","square-x","40","90","14","0","82.73752399232247","0"
"9","square-x","30","90","19","0","75.72614107883817","0"
"1","square-x","30","90","14","0","72.75509003177592","0"
"7","square-x","30","90","12","0","74.22294928721665","0"
"13","square-x","40","90","20","0","84.26158821415738","0"
"6","square-x","30","90","17","0","74.13200616186752","0"
"12","square-x","40","90","22","0","80.43327955750172","0"
"3","square-x","30","90","14","0","74.14902327757632","0"
"14","square-x","40","90","22","0","83.2299590403745","0"
"18","square-x","40","90","15","0","82.73979107312441","0"
"2","square-x","30","90","22","0","73.77610003538987","0"
"17","square-x","40","90","19","0","80.67206863679695","0"
"21","square-x","50","90","21","0","87.51334044823906","0"
"25","square-x","50","90","16","0","86.11991082952012","0"
"22","square-x","50","90","29","0","85.93129235802758","0"
"24","square-x","50","90","28","0","87.3935860058309","0"
"15","square-x","40","90","22","0","83.1224635951301","0"
"16","square-x","40","90","17","0","82.40150979004483","0"
"26","square-x","50","90","22","0","87.15456674473067","0"
"20","square-x","40","90","23","0","81.97879858657244","0"
"19","square-x","40","90","25","0","82.40046838407494","0"
"28","square-x","50","90","19","0","87.0298769771529","0"
"27","square-x","50","90","26","0","86.40093786635404","0"
"29","square-x","50","90","22","0","87.01634717158649","0"
"23","square-x","50","90","33","0","87.16129782532853","0"
"30","square-x","50","90","23","0","87.33877647615667","0"
"31","square-x","60","90","121","0","98.14083197768998","0"
"32","square-x","60","90","101","0","97.9509173218966","0"
"34","square-x","60","90","182","0","97.9174062241155","0"
"37","square-x","60","90","98","0","98.1671469740634","0"
"35","square-x","60","90","257","0","98.04078826764436","0"
"36","square-x","60","90","151","0","98.10588772250114","0"
"33","square-x","60","90","172","0","97.67386091127098","0"
"39","square-x","60","90","208","0","98.44393592677345","0"
"40","square-x","60","90","129","0","98.0233918128655","0"
"38","square-x","60","90","244","0","98.01523194091854","0"
"41","square-x","70","90","248","0","99.59226467847158","0"
"43","square-x","70","90","209","0","99.48084910013844","0"
"42","square-x","70","90","266","0","99.55372468245794","0"
"45","square-x","70","90","232","0","99.63833634719711","0"
"46","square-x","70","90","268","0","99.56601187756966","0"
"47","square-x","70","90","192","0","99.56542165844492","0"
"50","square-x","70","90","235","0","99.60756332500893","0"
"44","square-x","70","90","358","0","99.58076161639688","0"
"48","square-x","70","90","304","0","99.59354314249215","0"
"49","square-x","70","90","375","0","99.61985946319548","0"
"55","square-x","80","90","2500","2110","51.97746883988494","90.55793991416309"
"58","square-x","80","90","2500","2157","51.01510859301227","91.82630906768838"
"52","square-x","80","90","2500","2100","52.28116393246318","90.12875536480686"
"53","square-x","80","90","2500","2181","51.35941264196398","91.63865546218487"
"54","square-x","80","90","2500","2140","52.06592113007652","91.14139693356049"
"51","square-x","80","90","2500","2180","51.160079281800165","92.33375688267684"
"57","square-x","80","90","2500","2143","52.00931857891672","90.72819644369179"
"56","square-x","80","90","2500","2139","51.70950247583117","91.13762249680443"
"59","square-x","80","90","2500","2126","51.05747401123193","91.1663807890223"
"60","square-x","80","90","2500","2187","50.98201609086607","93.22250639386189"
"62","square-x","90","90","2500","2304","50.47927150730889","98.88412017167381"
"63","square-x","90","90","2500","2317","49.427207637231504","99.27163667523564"
"61","square-x","90","90","2500","2338","50.21032951624211","99.10979228486647"
"64","square-x","90","90","2500","2328","50.03525264394829","98.9795918367347"
"65","square-x","90","90","2500","2312","50.32835820895522","99.05741216795202"
"66","square-x","90","90","2500","2289","50.28971511347176","98.66379310344827"
"67","square-x","90","90","2500","2286","50.03043954705954","98.91821722198183"
"68","square-x","90","90","2500","2313","50.03597985128329","99.31300987548303"
"69","square-x","90","90","2500","2334","51.27694470477976","98.9821882951654"
"70","square-x","90","90","2500","2324","50.35410764872521","99.02002556455048"
